unix_time,time_s,cable_easting_m,cable_northing_m,cable_height_m,cable_lock
1759744861.537,120101.537,619477.980271475,5806170.950315859,41.53,1
1759744861.739,120101.739,619477.6975585356,5806171.738793724,41.53,1
1759744861.94,120101.94,619477.878194988,5806172.906596933,41.52,1
1759744862.142,120102.142,619478.1718378436,5806172.235842232,41.5,1
1759744862.36,120102.36,619479.3502420806,5806170.971727132,41.52,1
1759744862.565,120102.565,619480.0121445837,5806171.173543787,41.54,1
1759744862.767,120102.767,619479.7812378021,5806172.060900398,41.54,1
1759744862.969,120102.969,619479.8746787055,5806171.857895101,41.53,1
1759744863.172,120103.172,619480.5312546954,5806171.550669994,41.53,1
1759744863.374,120103.374,619479.68766588,5806172.087714596,41.54,1
1759744863.59,120103.59,619477.6149724337,5806171.947784914,41.52,1
1759744863.791,120103.791,619477.2074736549,5806172.236010734,41.54,1
1759744863.993,120103.993,619475.7669888064,5806172.719012695,41.53,1
1759744864.194,120104.194,619475.9287615106,5806171.978476534,41.53,1
1759744864.396,120104.396,619475.1831268292,5806171.692300623,41.54,1
1759744864.613,120104.613,619475.6643267123,5806172.004273724,41.55,1
1759744864.814,120104.814,619475.5443267123,5806172.044273724,41.53,1
1759744865.016,120105.016,619475.8509689877,5806172.468979586,41.53,1
1759744865.216,120105.216,619475.4410925487,5806171.939074282,41.55,1
1759744865.433,120105.433,619475.620881857,5806171.509854497,41.55,1
1759744865.433,120105.433,619475.620881857,5806171.509854497,41.55,1
1759744865.636,120105.636,619475.3724289972,5806172.315226627,41.53,1
1759744865.84,120105.84,619475.1837288049,5806171.628889577,41.53,1
1759744866.042,120106.042,619475.1406185864,5806171.165286168,41.53,1
1759744866.245,120106.245,619475.1433814046,5806171.110015257,41.54,1
1759744866.448,120106.448,619475.6003390179,5806170.4865261745,41.53,1
1759744866.651,120106.651,619475.1741271429,5806169.818305859,41.53,1
1759744866.869,120106.869,619475.6314071346,5806169.929051213,41.53,1
1759744867.071,120107.071,619475.494081846,5806170.374012825,41.53,1
1759744867.274,120107.274,619475.3082825874,5806169.770298971,41.52,1
1759744867.476,120107.476,619475.1484203403,5806168.489439525,41.5,1
1759744867.675,120107.675,619475.5772170038,5806168.936898473,41.52,1
1759744867.894,120107.894,619475.3906379564,5806168.899241602,41.53,1
1759744868.096,120108.096,619474.8466381435,5806169.253441056,41.52,1
1759744868.299,120108.299,619474.4429993117,5806168.822622946,41.51,1
1759744868.501,120108.501,619474.3224098602,5806169.44173179,41.53,1
1759744868.703,120108.703,619473.8874881401,5806170.654123688,41.5,1
1759744868.905,120108.905,619473.5366924678,5806170.143656836,41.5,1
1759744869.124,120109.124,619472.9123723421,5806169.129455705,41.53,1
1759744869.323,120109.323,619472.9165440114,5806169.578232867,41.52,1
1759744869.526,120109.526,619473.157106577,5806170.994696886,41.5,1
1759744869.728,120109.728,619472.8244074127,5806170.673327719,41.5,1
1759744869.931,120109.931,619472.3735377032,5806169.76430319,41.52,1
1759744870.148,120110.148,619472.3568500802,5806169.252518279,41.52,1
1759744870.35,120110.35,619472.9303117875,5806169.737009191,41.52,1
1759744870.549,120110.549,619472.3303970821,5806170.521554834,41.52,1
1759744870.753,120110.753,619471.7885536134,5806170.445317066,41.5,1
1759744870.969,120110.969,619471.6910923544,5806169.57363766,41.5,1
1759744871.17,120111.17,619472.2158538032,5806168.140241196,41.5,1
1759744871.371,120111.371,619472.5892553941,5806168.574967828,41.53,1
1759744871.573,120111.573,619471.9276382505,5806170.736155612,41.54,1
1759744871.791,120111.791,619471.0058498087,5806172.298118873,41.52,1
1759744871.992,120111.992,619471.0158518034,5806172.36141041,41.51,1
1759744872.194,120112.194,619470.7722961997,5806172.200346198,41.52,1
1759744872.396,120112.396,619471.1987317149,5806171.078336093,41.53,1
1759744872.599,120112.599,619472.2058425247,5806170.427066339,41.53,1
1759744872.801,120112.801,619472.1770093926,5806172.540005151,41.53,1
1759744873.018,120113.018,619472.1770093926,5806172.540005151,41.53,1
1759744873.221,120113.221,619472.275426441,5806175.000202215,41.46,1
1759744873.424,120113.424,619471.8979438351,5806174.307366912,41.46,1
1759744873.624,120113.624,619471.8979438351,5806174.307366912,41.46,1
1759744873.624,120113.624,619471.9371396843,5806174.429842017,41.46,1
1759744873.828,120113.828,619471.6071396844,5806174.369842016,41.5,1
1759744874.03,120114.03,619471.6927488857,5806170.642421043,41.5,1
1759744874.248,120114.248,619468.7748244836,5806169.245325458,41.49,1
1759744874.451,120114.451,619468.0634100981,5806170.473451264,41.53,1
1759744874.655,120114.655,619468.6217271583,5806172.1301018335,41.54,1
1759744874.857,120114.857,619468.2068109988,5806170.700770796,41.52,1
1759744875.059,120115.059,619469.841712331,5806168.68635255,41.52,1
1759744875.26,120115.26,619471.5539382546,5806169.2683867235,41.52,1
1759744875.479,120115.479,619471.9785420224,5806170.0095625855,41.54,1
1759744875.681,120115.681,619471.8890277407,5806169.743676905,41.5,1
1759744875.885,120115.885,619471.4510918781,5806168.808306695,41.5,1
1759744876.086,120116.086,619472.3282722197,5806168.967927831,41.53,1
1759744876.29,120116.29,619472.3573521747,5806169.090974379,41.52,1
1759744876.491,120116.491,619470.1921176516,5806169.525808122,41.52,1
1759744876.709,120116.709,619471.637606052,5806169.080263783,41.51,1
1759744876.912,120116.912,619469.7764808715,5806168.714987132,41.52,1
1759744877.116,120117.116,619470.3220874311,5806169.050119168,41.52,1
1759744877.317,120117.317,619470.469022738,5806169.14352107,41.53,1
1759744877.519,120117.519,619469.7566128637,5806169.295799893,41.5,1
1759744877.721,120117.721,619469.8886679041,5806169.653752725,41.47,1
1759744877.939,120117.939,619468.476914738,5806170.106283632,41.49,1
1759744878.141,120118.141,619467.9787716655,5806170.328020965,41.45,1
1759744878.345,120118.345,619468.2637717639,5806171.084638429,41.47,1
1759744878.547,120118.547,619467.9414348957,5806171.063441836,41.45,1
1759744878.749,120118.749,619467.8413986893,5806171.808554337,41.43,1
1759744878.952,120118.952,619469.467067221,5806172.734830035,41.41,1
1759744879.17,120119.17,619468.0340919684,5806172.986960903,41.41,1
1759744879.371,120119.371,619468.7240943181,5806172.29988131,41.4,1
1759744879.573,120119.573,619469.3328761775,5806171.702221494,41.38,1
1759744879.775,120119.775,619466.4215206101,5806173.0798194725,41.43,1
1759744879.976,120119.976,619466.0137181396,5806174.207803263,41.42,1
1759744880.194,120120.194,619465.8805911856,5806174.226209923,41.36,1
1759744880.395,120120.395,619464.295643926,5806172.559296529,41.36,1
1759744880.598,120120.598,619466.4442670011,5806171.681848221,41.43,1
1759744880.801,120120.801,619465.738912704,5806172.632702553,41.42,1
1759744881.003,120121.003,619465.841655661,5806173.271383903,41.39,1
1759744881.206,120121.206,619467.0080285334,5806172.805351604,41.4,1
1759744881.423,120121.423,619466.9634477136,5806172.898161142,41.42,1
1759744881.624,120121.624,619466.8134477136,5806172.888161142,41.41,1
1759744881.828,120121.828,619465.1607552301,5806173.087600533,41.41,1
1759744881.828,120121.828,619464.2548148405,5806172.912926893,41.41,1
1759744882.032,120122.032,619465.2661609194,5806172.812067983,41.42,1
1759744882.234,120122.234,619464.852749497,5806173.158686295,41.4,1
1759744882.436,120122.436,619464.4453906806,5806173.99902275,41.41,1
1759744882.652,120122.652,619465.6397907112,5806173.401702289,41.4,1
1759744882.856,120122.856,619465.6568292918,5806173.77342291,41.41,1
1759744883.058,120123.058,619464.2042498398,5806174.352042654,41.41,1
1759744883.26,120123.26,619465.1049063299,5806174.141353999,41.41,1
1759744883.462,120123.462,619464.0537830335,5806173.524459508,41.4,1
1759744883.68,120123.68,619463.8973555403,5806173.688606824,41.4,1
1759744883.882,120123.882,619465.0510330348,5806173.863277787,41.4,1
1759744884.083,120124.083,619463.8879357933,5806173.732579117,41.4,1
1759744884.285,120124.285,619464.8220745475,5806173.602305841,41.4,1
1759744884.487,120124.487,619463.8601091903,5806173.619826974,41.39,1
1759744884.704,120124.704,619463.7479594769,5806173.626046959,41.39,1
1759744884.905,120124.905,619464.7271594766,5806173.536308028,41.4,1
1759744885.109,120125.109,619463.1086700856,5806173.684482693,41.39,1
1759744885.309,120125.309,619463.4740891096,5806173.294157187,41.4,1
1759744885.515,120125.515,619464.4561091086,5806173.442064508,41.4,1
1759744885.717,120125.717,619461.3747765485,5806174.383525889,41.4,1
1759744885.934,120125.934,619462.3288915879,5806174.738911183,41.4,1
1759744886.137,120126.137,619463.0116486908,5806174.582693902,41.39,1
1759744886.339,120126.339,619461.3151431204,5806173.818645691,41.41,1
1759744886.541,120126.541,619461.8647727198,5806173.895522454,41.41,1
1759744886.745,120126.745,619461.3447934085,5806174.398747948,41.41,1
1759744886.948,120126.948,619462.667116826,5806175.084332733,41.41,1
1759744887.166,120127.166,619462.4970670963,5806174.177726717,41.37,1
1759744887.368,120127.368,619460.6951951375,5806173.434424115,41.41,1
1759744887.57,120127.57,619462.0167684797,5806173.900165757,41.41,1
1759744887.774,120127.774,619461.9272260306,5806175.158903786,41.41,1
1759744887.974,120127.974,619460.6622677781,5806175.293957288,41.35,1
1759744888.176,120128.176,619461.0929573189,5806173.8206285,41.39,1
1759744888.393,120128.393,619460.2557674272,5806173.681164909,41.41,1
1759744888.595,120128.595,619460.0794528122,5806174.401003568,41.41,1
1759744888.798,120128.798,619461.0281609665,5806175.469127171,41.37,1
1759744889.0,120129.0,619460.5058496764,5806175.051601352,41.37,1
1759744889.202,120129.202,619460.2758496765,5806175.041601352,41.4,1
1759744889.42,120129.42,619462.3622408737,5806173.769752833,41.4,1
1759744889.622,120129.622,619462.2522408738,5806173.769752833,41.4,1
1759744889.825,120129.825,619460.7401451231,5806174.684353661,41.36,1
1759744890.027,120130.027,619460.242479897,5806175.505591635,41.37,1
1759744890.027,120130.027,619459.0533122546,5806173.893887011,41.37,1
1759744890.23,120130.23,619458.8933122546,5806173.863887011,41.4,1
1759744890.431,120130.431,619458.9230472863,5806174.997396849,41.4,1
1759744890.65,120130.65,619459.4346253168,5806173.825306114,41.4,1
1759744890.853,120130.853,619459.6926608023,5806173.157465036,41.41,1
1759744891.054,120131.054,619458.5713587429,5806173.763624019,41.41,1
1759744891.257,120131.257,619459.2416332149,5806174.48200396,41.4,1
1759744891.46,120131.46,619458.4233145111,5806174.714633774,41.4,1
1759744891.662,120131.662,619458.9186003582,5806174.563697017,41.39,1
1759744891.865,120131.865,619459.0277953971,5806175.155718777,41.38,1
1759744892.083,120132.083,619458.1983137401,5806175.843208995,41.39,1
1759744892.285,120132.285,619460.0824592555,5806175.544696619,41.37,1
1759744892.488,120132.488,619458.5962661515,5806175.048280753,41.38,1
1759744892.691,120132.691,619458.5162661516,5806175.068280754,41.39,1
1759744892.893,120132.893,619458.5404001758,5806174.721867397,41.39,1
1759744893.096,120133.096,619459.1372762816,5806175.325492855,41.39,1
1759744893.302,120133.302,619458.8533190184,5806175.213799673,41.37,1
1759744893.519,120133.519,619459.2569444319,5806174.131606901,41.4,1
1759744893.724,120133.724,619460.0357817021,5806173.804806404,41.38,1
1759744893.926,120133.926,619459.9793243385,5806174.51000217,41.38,1
1759744894.127,120134.127,619459.3761397303,5806174.446606245,41.38,1
1759744894.33,120134.33,619460.5102909922,5806173.978658949,41.38,1
1759744894.532,120134.532,619460.0987183517,5806173.184735972,41.35,1
1759744894.749,120134.749,619458.234949113,5806173.649608312,41.36,1
1759744894.952,120134.952,619456.4919875351,5806175.177945459,41.32,1
1759744895.154,120135.154,619457.2972253069,5806174.901705204,41.34,1
1759744895.358,120135.358,619455.4415334787,5806174.354591046,41.36,1
1759744895.562,120135.562,619455.9085106499,5806175.031119429,41.33,1
1759744895.764,120135.764,619456.0399802625,5806174.914640735,41.33,1
1759744895.965,120135.965,619455.7645396861,5806174.697923337,41.33,1
1759744896.17,120136.17,619456.4128986907,5806174.345563776,41.34,1
1759744896.388,120136.388,619456.4992715833,5806174.583969542,41.34,1
1759744896.591,120136.591,619456.9422466333,5806175.2787464475,41.33,1
1759744896.792,120136.792,619455.017571348,5806175.10492822,41.32,1
1759744896.994,120136.994,619456.231306528,5806174.939090201,41.33,1
1759744897.196,120137.196,619456.431084503,5806174.929668911,41.33,1
1759744897.416,120137.416,619455.438076224,5806175.373912221,41.32,1
1759744897.605,120137.605,619455.2780762239,5806175.413912221,41.31,1
1759744897.822,120137.822,619456.5326250765,5806175.115793459,41.34,1
1759744898.023,120138.023,619455.8262990185,5806174.924499088,41.32,1
1759744898.227,120138.227,619455.2643304396,5806175.012906177,41.36,1
1759744898.227,120138.227,619455.2740268359,5806175.031473632,41.36,1
1759744898.434,120138.434,619455.7205288563,5806175.66408539,41.33,1
1759744898.638,120138.638,619455.7347397298,5806174.901260272,41.33,1
1759744898.843,120138.843,619455.7106632249,5806175.038943235,41.36,1
1759744899.048,120139.048,619457.3398041166,5806175.6572595,41.32,1
1759744899.253,120139.253,619457.0843422037,5806175.328699706,41.32,1
1759744899.456,120139.456,619456.429907415,5806175.089518647,41.33,1
1759744899.657,120139.657,619457.4271817844,5806175.238759044,41.34,1
1759744899.874,120139.874,619456.5697176016,5806175.034703594,41.32,1
1759744900.076,120140.076,619456.97748281,5806174.386239891,41.33,1
1759744900.28,120140.28,619457.828811854,5806173.996411264,41.33,1
1759744900.484,120140.484,619456.2260564285,5806174.7097066855,41.33,1
1759744900.688,120140.688,619455.1576389273,5806174.423353262,41.32,1
1759744900.889,120140.889,619455.6444141333,5806174.465923618,41.32,1
1759744901.091,120141.091,619454.2336794379,5806175.146989317,41.33,1
1759744901.309,120141.309,619454.6258216002,5806175.643006707,41.32,1
1759744901.513,120141.513,619453.3137483414,5806175.513403902,41.31,1
1759744901.714,120141.714,619453.5242424428,5806174.69370821,41.32,1
1759744901.919,120141.919,619453.5187622375,5806174.757209283,41.31,1
1759744902.123,120142.123,619453.0116584616,5806175.211290705,41.33,1
1759744902.328,120142.328,619453.9761321238,5806175.358049313,41.31,1
1759744902.532,120142.532,619453.6612550628,5806175.249869813,41.3,1
1759744902.733,120142.733,619454.7407459299,5806174.558560015,41.3,1
1759744902.938,120142.938,619454.5815604073,5806173.84568085,41.32,1
1759744903.142,120143.142,619455.0573545343,5806173.5627038,41.32,1
1759744903.359,120143.359,619455.7195600807,5806173.885805352,41.3,1
1759744903.563,120143.563,619455.4762308833,5806173.258706028,41.31,1
1759744903.766,120143.766,619453.6483000072,5806174.001488761,41.33,1
1759744903.972,120143.972,619453.3931589815,5806174.7772954125,41.3,1
1759744904.177,120144.177,619453.1650800158,5806175.221668443,41.31,1
1759744904.383,120144.383,619451.9165416596,5806174.932501021,41.3,1
1759744904.588,120144.588,619452.675832879,5806173.559399688,41.31,1
1759744904.792,120144.792,619450.4277476405,5806172.667521007,41.33,1
1759744904.995,120144.995,619452.3281306389,5806173.57477316,41.31,1
1759744905.197,120145.197,619451.6360286308,5806174.178064471,41.31,1
1759744905.4,120145.4,619451.156949834,5806174.389097298,41.3,1
1759744905.604,120145.604,619451.046949834,5806174.399097297,41.31,1
1759744905.805,120145.805,619451.3339678247,5806174.14977978,41.29,1
1759744906.024,120146.024,619451.909634382,5806174.079422047,41.31,1
1759744906.227,120146.227,619451.2291411412,5806173.76524827,41.29,1
1759744906.43,120146.43,619451.1761207073,5806173.875288632,41.31,1
1759744906.43,120146.43,619451.1761207073,5806173.875288632,41.31,1
1759744906.632,120146.632,619452.2216637083,5806174.414785403,41.3,1
1759744906.833,120146.833,619450.1818676479,5806174.736282364,41.3,1
1759744907.036,120147.036,619450.961384842,5806174.223115187,41.3,1
1759744907.241,120147.241,619451.7702799228,5806173.894524506,41.32,1
1759744907.447,120147.447,619450.5168541473,5806174.468593,41.3,1
1759744907.652,120147.652,619451.3712333916,5806174.349801834,41.3,1
1759744907.855,120147.855,619451.1418093086,5806174.416866417,41.29,1
1759744908.073,120148.073,619450.7179945224,5806174.609804636,41.3,1
1759744908.279,120148.279,619450.8825389072,5806174.856314378,41.29,1
1759744908.483,120148.483,619449.9048989047,5806174.293873561,41.29,1
1759744908.686,120148.686,619450.0558850288,5806173.962462186,41.28,1
1759744908.893,120148.893,619450.0644899394,5806174.073638826,41.3,1
1759744909.095,120149.095,619450.8535876663,5806173.630314812,41.29,1
1759744909.297,120149.297,619450.7551091313,5806173.506021567,41.29,1
1759744909.498,120149.498,619451.6410754416,5806173.158886839,41.31,1
1759744909.701,120149.701,619451.5009256027,5806173.77779319,41.31,1
1759744909.919,120149.919,619450.5716636912,5806174.072479174,41.29,1
1759744910.121,120150.121,619449.8558940035,5806173.751318768,41.29,1
1759744910.323,120150.323,619449.707979662,5806173.984035101,41.29,1
1759744910.526,120150.526,619449.8018041337,5806174.149483851,41.29,1
1759744910.731,120150.731,619449.5790344245,5806173.767622276,41.28,1
1759744910.934,120150.934,619449.4877529229,5806173.865639346,41.28,1
1759744911.137,120151.137,619449.5044884916,5806174.0649379175,41.28,1
1759744911.341,120151.341,619449.5111185873,5806173.991567752,41.28,1
1759744911.546,120151.546,619449.7921323584,5806173.857830186,41.28,1
1759744911.765,120151.765,619449.7844241156,5806173.849176357,41.28,1
1759744911.967,120151.967,619448.5035869699,5806174.145837177,41.28,1
1759744912.167,120152.167,619448.156268211,5806173.868941669,41.29,1
1759744912.371,120152.371,619446.9846471057,5806174.039216249,41.28,0
1759744912.573,120152.573,619446.0563472054,5806174.432414621,41.26,1
1759744912.79,120152.79,619447.2102665845,5806173.940836674,41.25,1
1759744912.992,120152.992,619448.2318043774,5806172.35594747,41.29,0
1759744913.196,120153.196,619448.1059870068,5806171.87849798,41.29,1
1759744913.399,120153.399,619448.7450618137,5806172.839117939,41.3,0
1759744913.605,120153.605,619447.5469390637,5806174.046056936,41.27,0
1759744913.811,120153.811,619447.5087992323,5806173.657468809,41.26,0
1759744914.017,120154.017,619448.2549623591,5806174.041170204,41.28,0
1759744914.22,120154.22,619446.0563513321,5806175.344005491,41.27,1
1759744914.423,120154.423,619445.8658454377,5806175.376566547,41.25,1
1759744914.627,120154.627,619445.7858454378,5806175.376566547,41.29,1
1759744914.627,120154.627,619446.4897265494,5806175.041470822,41.29,1
1759744914.831,120154.831,619449.0110099853,5806175.166379901,41.26,1
1759744915.036,120155.036,619448.0733880291,5806174.042896567,41.27,1
1759744915.241,120155.241,619447.634754214,5806173.623026484,41.27,1
1759744915.444,120155.444,619448.1874984868,5806174.156387988,41.28,1
1759744915.646,120155.646,619446.534731201,5806174.497914333,41.26,1
1759744915.865,120155.865,619446.5802725588,5806174.36786215,41.26,1
1759744916.066,120156.066,619447.9289879017,5806173.269373738,41.24,1
1759744916.268,120156.268,619446.5997121723,5806173.936384075,41.26,1
1759744916.471,120156.471,619448.7406413519,5806174.777393561,41.25,1
1759744916.676,120156.676,619448.6236013905,5806174.920760242,41.22,1
1759744916.878,120156.878,619446.2332218493,5806175.077921203,41.26,1
1759744917.081,120157.081,619445.2147031493,5806174.366816029,41.24,1
1759744917.299,120157.299,619446.6356569919,5806174.08610973,41.25,1
1759744917.5,120157.5,619444.3198513433,5806174.983474948,41.27,1
1759744917.703,120157.703,619444.9459560838,5806177.228383982,41.22,1
1759744917.904,120157.904,619445.7722531254,5806176.66484964,41.22,1
1759744918.107,120158.107,619445.0016313967,5806175.560291466,41.24,1
1759744918.325,120158.325,619446.4065649749,5806174.921901975,41.26,1
1759744918.528,120158.528,619444.8403805693,5806175.827103596,41.27,1
1759744918.731,120158.731,619446.771952183,5806176.073315006,41.27,1
1759744918.934,120158.934,619446.5350099083,5806175.276120718,41.28,1
1759744919.136,120159.136,619447.3595125553,5806175.10256972,41.28,1
1759744919.338,120159.338,619447.1627458598,5806175.383590871,41.28,1
1759744919.541,120159.541,619446.3077464465,5806174.946293128,41.29,1
1759744919.759,120159.759,619446.3473855568,5806175.003543577,41.3,1
1759744919.961,120159.961,619445.7678924748,5806175.499153456,41.27,1
1759744920.162,120200.162,619446.0303662738,5806175.301898401,41.29,1
1759744920.364,120200.364,619445.8315875963,5806174.640179842,41.29,1
1759744920.569,120200.569,619447.1238360201,5806174.0634660525,41.3,1
