unix_time,time_s,cable_easting_m,cable_northing_m,cable_height_m,cable_lock
1759745770.568,121610.568,619505.2006987502,5806172.325541362,41.47,1
1759745770.77,121610.77,619505.0606987502,5806172.325541362,41.46,1
1759745770.972,121610.972,619504.684026269,5806171.710628489,41.46,1
1759745771.174,121611.174,619505.7883476319,5806171.520373753,41.46,1
1759745771.391,121611.391,619505.846359416,5806171.612134212,41.46,1
1759745771.595,121611.595,619504.7795679702,5806172.391266936,41.5,1
1759745771.796,121611.796,619504.5794441324,5806172.277455074,41.49,1
1759745772.0,121612.0,619504.6988761937,5806171.752487038,41.47,1
1759745772.202,121612.202,619503.6814436057,5806172.497132843,41.47,1
1759745772.404,121612.404,619504.7648618012,5806171.378199011,41.5,1
1759745772.62,121612.62,619504.0954100795,5806170.823219716,41.48,1
1759745772.823,121612.823,619504.534172102,5806171.63291526,41.47,1
1759745773.024,121613.024,619503.9185381755,5806173.452122166,41.48,1
1759745773.227,121613.227,619503.6303542173,5806172.885416875,41.48,1
1759745773.429,121613.429,619504.4808657211,5806170.739899824,41.46,1
1759745773.647,121613.647,619503.7333171625,5806171.429138623,41.44,1
1759745773.851,121613.851,619501.4327033766,5806172.85515676,41.46,1
1759745774.054,121614.054,619502.0628435818,5806172.993379596,41.49,1
1759745774.257,121614.257,619501.4166790022,5806172.794417843,41.49,1
1759745774.457,121614.457,619499.7100000001,5806172.7,41.47,1
1759745774.66,121614.66,619502.0599999999,5806173.2,41.5,1
1759745774.863,121614.863,619501.3022304473,5806173.554196143,41.51,1
1759745775.08,121615.08,619499.7620718565,5806172.936008109,41.51,1
1759745775.283,121615.283,619501.8833941073,5806172.018499563,41.49,1
1759745775.485,121615.485,619500.8554050348,5806171.596287904,41.51,1
1759745775.688,121615.688,619501.1666575476,5806172.307983527,41.53,1
1759745775.89,121615.89,619500.8799982085,5806172.709605786,41.53,1
1759745776.094,121616.094,619501.9141432886,5806172.687566642,41.53,1
1759745776.312,121616.312,619502.3629628018,5806171.6407438265,41.52,1
1759745776.515,121616.515,619502.4120927845,5806170.412401215,41.54,1
1759745776.717,121616.717,619503.5477402367,5806171.392126809,41.55,1
1759745776.923,121616.923,619503.671394908,5806172.8717051735,41.53,1
1759745777.127,121617.127,619504.313734142,5806171.9022451015,41.51,1
1759745777.328,121617.328,619503.7846202578,5806171.170510216,41.54,1
